,year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,version,percchange
1,2004,Nevada,NV,Churchill,32001,President,John Kerry,democrat,2705,10237,20191203,0
2,2004,Nevada,NV,Churchill,32001,President,George W. Bush,republican,7335,10237,20191203,0
3,2004,Nevada,NV,Churchill,32001,President,Other,NA,197,10237,20191203,0
4,2004,Nevada,NV,Clark,32003,President,John Kerry,democrat,281767,545397,20191203,0
5,2004,Nevada,NV,Clark,32003,President,George W. Bush,republican,255337,545397,20191203,0
6,2004,Nevada,NV,Clark,32003,President,Other,NA,8293,545397,20191203,0
7,2004,Nevada,NV,Douglas,32005,President,John Kerry,democrat,8275,23898,20191203,0
8,2004,Nevada,NV,Douglas,32005,President,George W. Bush,republican,15192,23898,20191203,0
9,2004,Nevada,NV,Douglas,32005,President,Other,NA,431,23898,20191203,0
10,2004,Nevada,NV,Elko,32007,President,John Kerry,democrat,3050,15309,20191203,0
11,2004,Nevada,NV,Elko,32007,President,George W. Bush,republican,11938,15309,20191203,0
12,2004,Nevada,NV,Elko,32007,President,Other,NA,321,15309,20191203,0
13,2004,Nevada,NV,Esmeralda,32009,President,John Kerry,democrat,99,481,20191203,0
14,2004,Nevada,NV,Esmeralda,32009,President,George W. Bush,republican,367,481,20191203,0
15,2004,Nevada,NV,Esmeralda,32009,President,Other,NA,15,481,20191203,0
16,2004,Nevada,NV,Eureka,32011,President,John Kerry,democrat,144,738,20191203,0
17,2004,Nevada,NV,Eureka,32011,President,George W. Bush,republican,571,738,20191203,0
18,2004,Nevada,NV,Eureka,32011,President,Other,NA,23,738,20191203,0
19,2004,Nevada,NV,Humboldt,32013,President,John Kerry,democrat,1361,5367,20191203,0
20,2004,Nevada,NV,Humboldt,32013,President,George W. Bush,republican,3896,5367,20191203,0
21,2004,Nevada,NV,Humboldt,32013,President,Other,NA,110,5367,20191203,0
22,2004,Nevada,NV,Lander,32015,President,John Kerry,democrat,414,2053,20191203,0
23,2004,Nevada,NV,Lander,32015,President,George W. Bush,republican,1602,2053,20191203,0
24,2004,Nevada,NV,Lander,32015,President,Other,NA,37,2053,20191203,0
25,2004,Nevada,NV,Lincoln,32017,President,John Kerry,democrat,418,2047,20191203,0
26,2004,Nevada,NV,Lincoln,32017,President,George W. Bush,republican,1579,2047,20191203,0
27,2004,Nevada,NV,Lincoln,32017,President,Other,NA,50,2047,20191203,0
28,2004,Nevada,NV,Lyon,32019,President,John Kerry,democrat,5637,17151,20191203,0
29,2004,Nevada,NV,Lyon,32019,President,George W. Bush,republican,11136,17151,20191203,0
30,2004,Nevada,NV,Lyon,32019,President,Other,NA,378,17151,20191203,0
31,2004,Nevada,NV,Mineral,32021,President,John Kerry,democrat,931,2327,20191203,0
32,2004,Nevada,NV,Mineral,32021,President,George W. Bush,republican,1336,2327,20191203,0
33,2004,Nevada,NV,Mineral,32021,President,Other,NA,60,2327,20191203,0
34,2004,Nevada,NV,Nye,32023,President,John Kerry,democrat,5616,14510,20191203,0
35,2004,Nevada,NV,Nye,32023,President,George W. Bush,republican,8487,14510,20191203,0
36,2004,Nevada,NV,Nye,32023,President,Other,NA,407,14510,20191203,0
37,2004,Nevada,NV,Pershing,32027,President,John Kerry,democrat,538,1917,20191203,0
38,2004,Nevada,NV,Pershing,32027,President,George W. Bush,republican,1341,1917,20191203,0
39,2004,Nevada,NV,Pershing,32027,President,Other,NA,38,1917,20191203,0
40,2004,Nevada,NV,Storey,32029,President,John Kerry,democrat,871,2168,20191203,0
41,2004,Nevada,NV,Storey,32029,President,George W. Bush,republican,1253,2168,20191203,0
42,2004,Nevada,NV,Storey,32029,President,Other,NA,44,2168,20191203,0
43,2004,Nevada,NV,Washoe,32031,President,John Kerry,democrat,74841,159079,20191203,0
44,2004,Nevada,NV,Washoe,32031,President,George W. Bush,republican,81545,159079,20191203,0
45,2004,Nevada,NV,Washoe,32031,President,Other,NA,2693,159079,20191203,0
46,2004,Nevada,NV,White Pine,32033,President,John Kerry,democrat,1082,3802,20191203,0
47,2004,Nevada,NV,White Pine,32033,President,George W. Bush,republican,2604,3802,20191203,0
48,2004,Nevada,NV,White Pine,32033,President,Other,NA,116,3802,20191203,0
49,2004,Nevada,NV,Carson City,32510,President,John Kerry,democrat,9441,23106,20191203,0
50,2004,Nevada,NV,Carson City,32510,President,George W. Bush,republican,13171,23106,20191203,0
51,2004,Nevada,NV,Carson City,32510,President,Other,NA,494,23106,20191203,0
